case_id,task_type,text_a,text_b,candidate_1,candidate_2,candidate_3,scenario_pattern,reader_hint
P01,pair_relation,비밀번호를 변경하고 싶어요,비밀번호를 다시 설정하려면 어떻게 하나요?,-,-,-,same_intent,표현은 다르지만 같은 계정 해결 경로인지 본다.
P02,pair_relation,환불은 언제 되나요?,오늘 날씨가 좋네요,-,-,-,different_intent,겹치는 업무 신호가 없을 때 관계 없음으로 떨어지는지 본다.
P03,pair_relation,배송이 늦어지고 있습니다,택배가 아직 도착하지 않았습니다,-,-,-,same_intent,배송 지연을 다른 표현으로 말해도 같은 처리 흐름인지 본다.
P04,pair_relation,로그인이 계속 실패합니다,결제 영수증을 다시 받고 싶습니다,-,-,-,different_intent,계정 문제와 결제 요청이 분리되는지 본다.
P05,pair_relation,주문 취소 뒤 환불을 기다리고 있습니다,돈이 언제 다시 들어오는지 궁금합니다,-,-,-,same_intent,환불이라는 직접 단어가 없어도 같은 결제 후속 문의인지 본다.
P06,pair_relation,계정 잠금 해제를 요청합니다,비밀번호 재설정 메일이 오지 않습니다,-,-,-,near_boundary,둘 다 계정 접근 문제지만 세부 조치가 다른 경계 사례인지 본다.
P07,pair_relation,배송지를 잘못 입력했습니다,주문을 취소하고 다시 결제하고 싶습니다,-,-,-,near_boundary,배송과 결제가 함께 있어도 해결 경로가 완전히 같은지 따져 본다.
P08,pair_relation,FAQ에서 환불 절차를 찾고 싶습니다,환불 신청은 어디에서 하나요?,-,-,-,same_intent,문서 검색 표현과 사용자 요청 표현이 같은 주제인지 본다.
P09,pair_relation,서비스 점검 공지를 합쳐야 합니다,중복된 점검 안내 문서를 정리하고 싶습니다,-,-,-,same_intent,문서 중복 탐지 흐름으로 같은 묶음인지 본다.
P10,pair_relation,배송 조회 화면이 열리지 않습니다,앱 로그인 화면이 계속 멈춥니다,-,-,-,near_boundary,앱 오류처럼 보이지만 처리 라벨이 다를 수 있는지 본다.
P11,pair_relation,청구서 다운로드가 실패합니다,인증번호 문자가 오지 않습니다,-,-,-,different_intent,결제 문서와 계정 인증 문제가 분리되는지 본다.
P12,pair_relation,주문 동기화가 늦어집니다,결제는 되었는데 주문이 보이지 않습니다,-,-,-,same_intent,표현은 다르지만 결제와 주문 연결 문제인지 본다.
R01,ranking,퇴사 전에 장비를 어디에 반납하나요?,-,오프보딩 장비 반납 안내,법인카드 사용 정산 가이드,퇴사 체크리스트와 자산 회수 절차,semantic_match,같은 단어와 절차 의미가 함께 있는 후보가 올라오는지 본다.
R02,ranking,비밀번호를 잊어버렸어요,-,로그인 비밀번호 재설정 안내,배송 조회 방법,결제 영수증 다운로드,semantic_match,계정 해결 문서가 다른 업무 문서보다 먼저 오는지 본다.
R03,ranking,환불 신청은 어디에서 하나요?,-,취소 후 환불 접수 절차,계정 잠금 해제 방법,배송지 변경 안내,semantic_match,결제 후속 처리 문서가 먼저 선택되는지 본다.
R04,ranking,택배가 아직 오지 않았습니다,-,배송 지연 확인 절차,비밀번호 변경 안내,법인카드 정산 규정,semantic_match,배송 지연 문서가 같은 업무 후보로 잡히는지 본다.
R05,ranking,청구 내역을 다시 받고 싶습니다,-,결제 영수증 재발급 안내,오프보딩 장비 반납 안내,서비스 점검 공지 작성법,semantic_match,청구와 영수증 표현을 결제 문서로 연결하는지 본다.
R06,ranking,계정 잠금을 풀려면 어떻게 하나요?,-,계정 잠금 해제 절차,환불 처리 일정 안내,배송 주소 수정 안내,semantic_match,계정 접근 문서가 가장 가까운 후보인지 본다.
R07,ranking,서비스 점검 안내가 두 개 올라왔습니다,-,중복 공지 병합 기준,비밀번호 재설정 안내,배송 지연 공지 템플릿,semantic_match,중복 문서 정리 후보가 업무 의미상 먼저 오는지 본다.
R08,ranking,주문을 취소했는데 결제 내역이 남아 있습니다,-,취소 후 결제 상태 확인,로그인 오류 조치,택배 분실 신고 절차,boundary_match,취소와 결제 상태가 함께 있는 경계 질문을 결제 문서로 보내는지 본다.
R09,ranking,앱에서 배송 조회 버튼이 멈춥니다,-,배송 조회 오류 점검,계정 인증번호 재발송,환불 신청서 작성법,boundary_match,앱 오류처럼 보여도 배송 조회 문서가 먼저 필요한지 본다.
R10,ranking,로그인하지 못해서 주문 취소를 못 합니다,-,계정 로그인 복구 절차,주문 취소 정책 안내,배송 주소 변경 방법,boundary_match,표면상 주문 취소가 보여도 병목이 계정 접근인지 본다.
R11,ranking,자산 회수 절차가 궁금합니다,-,퇴사 장비 반납과 자산 회수,결제 한도 변경 안내,비밀번호 정책 설명,boundary_match,장비 반납이라는 단어가 없어도 같은 오프보딩 문서를 찾는지 본다.
R12,ranking,주문이 안 보이는데 결제 문자는 받았습니다,-,주문 동기화와 결제 확인,배송 지연 보상 안내,계정 잠금 해제 안내,boundary_match,결제와 주문 연결 문제를 맞는 문서로 랭킹하는지 본다.
