incident_id,date,problem,category,signal,possible_cause,check_locations,reader_impact,priority,immediate_checks,next_action
deploy-23,2026-07-19,빌드 실패 반복 사례 19,빌드 실패,공개 페이지 또는 빌드 로그에서 빌드 실패 신호가 보인다,빌드 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,빌드 실패 원인을 확인하고 수정 범위를 기록한다
deploy-24,2026-07-18,공개 확인 실패 반복 사례 20,공개 확인 실패,공개 페이지 또는 빌드 로그에서 공개 확인 실패 신호가 보인다,공개 확인 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,공개 확인 실패 원인을 확인하고 수정 범위를 기록한다
deploy-25,2026-07-19,자산 누락 반복 사례 21,자산 누락,공개 페이지 또는 빌드 로그에서 자산 누락 신호가 보인다,자산 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,자산 누락 원인을 확인하고 수정 범위를 기록한다
deploy-26,2026-07-18,모바일 표시 문제 반복 사례 22,모바일 표시 문제,공개 페이지 또는 빌드 로그에서 모바일 표시 문제 신호가 보인다,모바일 표시 문제 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,모바일 표시 문제 원인을 확인하고 수정 범위를 기록한다
deploy-27,2026-07-19,릴리즈노트 누락 반복 사례 23,릴리즈노트 누락,공개 페이지 또는 빌드 로그에서 릴리즈노트 누락 신호가 보인다,릴리즈노트 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,릴리즈노트 누락 원인을 확인하고 수정 범위를 기록한다
deploy-28,2026-07-18,브랜치 반영 실패 반복 사례 24,브랜치 반영 실패,공개 페이지 또는 빌드 로그에서 브랜치 반영 실패 신호가 보인다,브랜치 반영 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,브랜치 반영 실패 원인을 확인하고 수정 범위를 기록한다
deploy-29,2026-07-19,빌드 실패 반복 사례 25,빌드 실패,공개 페이지 또는 빌드 로그에서 빌드 실패 신호가 보인다,빌드 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,빌드 실패 원인을 확인하고 수정 범위를 기록한다
deploy-30,2026-07-18,공개 확인 실패 반복 사례 26,공개 확인 실패,공개 페이지 또는 빌드 로그에서 공개 확인 실패 신호가 보인다,공개 확인 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,공개 확인 실패 원인을 확인하고 수정 범위를 기록한다
deploy-31,2026-07-19,자산 누락 반복 사례 27,자산 누락,공개 페이지 또는 빌드 로그에서 자산 누락 신호가 보인다,자산 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,자산 누락 원인을 확인하고 수정 범위를 기록한다
deploy-32,2026-07-18,모바일 표시 문제 반복 사례 28,모바일 표시 문제,공개 페이지 또는 빌드 로그에서 모바일 표시 문제 신호가 보인다,모바일 표시 문제 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,모바일 표시 문제 원인을 확인하고 수정 범위를 기록한다
deploy-33,2026-07-19,릴리즈노트 누락 반복 사례 29,릴리즈노트 누락,공개 페이지 또는 빌드 로그에서 릴리즈노트 누락 신호가 보인다,릴리즈노트 누락 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,릴리즈노트 누락 원인을 확인하고 수정 범위를 기록한다
deploy-34,2026-07-18,브랜치 반영 실패 반복 사례 30,브랜치 반영 실패,공개 페이지 또는 빌드 로그에서 브랜치 반영 실패 신호가 보인다,브랜치 반영 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,독자가 최신 내용을 볼 수 없음,1,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,브랜치 반영 실패 원인을 확인하고 수정 범위를 기록한다
deploy-35,2026-07-19,빌드 실패 반복 사례 31,빌드 실패,공개 페이지 또는 빌드 로그에서 빌드 실패 신호가 보인다,빌드 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,일부 링크 흐름이 끊김,2,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,빌드 실패 원인을 확인하고 수정 범위를 기록한다
deploy-36,2026-07-18,공개 확인 실패 반복 사례 32,공개 확인 실패,공개 페이지 또는 빌드 로그에서 공개 확인 실패 신호가 보인다,공개 확인 실패 관련 경로 또는 상태 불일치,git branch|mkdocs.yml|GitHub Actions|public URL,시각 자료 확인이 어려움,3,git status|.venv/bin/python -m mkdocs build|공개 URL 직접 확인,공개 확인 실패 원인을 확인하고 수정 범위를 기록한다
