doc_id,topic,version,boundary_hint,reader_hint,config_axis,recovery_axis,flow_axis
sdk_v1_pagination_cursor_guide,pagination cursor,v1,old_version_collision,Cursor wording matches but 1.x response fields can break current repeated retrieval,0.65,0.46,0.40
sdk_general_pagination_notes,pagination cursor,general,general_note_collision,Explains pagination but cannot confirm SDK 2.x cursor fields and loop conditions,0.59,0.53,0.43
sdk_v2_pagination_troubleshooting,pagination cursor,v2,related_current_but_not_target,Current 2.x cursor troubleshooting is related but not the primary evidence for basic usage order,0.64,0.44,0.45
sdk_v2_idempotency_key,idempotency key,v2,current_version_candidate,Document for 2.x idempotency key placement and use in retry requests,0.47,0.64,0.54
sdk_v1_idempotency_key_guide,idempotency key,v1,old_version_collision,Idempotency wording matches but 1.x header rules can distort current retry-safety judgment,0.50,0.62,0.53
sdk_general_idempotency_notes,idempotency key,general,general_note_collision,Explains duplicate request prevention but not SDK 2.x header name or scope,0.44,0.69,0.56
sdk_v2_retry_safety_notes,idempotency key,v2,related_current_but_not_target,Explains 2.x retry safety background but not the idempotency key setting location directly,0.49,0.67,0.50
sdk_v2_webhook_replay,webhook replay,v2,current_version_candidate,Document for 2.x webhook replay detection and duplicate event handling rules,0.28,0.77,0.55
sdk_v1_webhook_replay_guide,webhook replay,v1,old_version_collision,Replay topic matches but 1.x event signature rules can distort current duplicate handling,0.31,0.75,0.54
sdk_general_webhook_replay_notes,webhook replay,general,general_note_collision,Explains webhook replay concepts but not 2.x event ID or reprocessing conditions,0.25,0.82,0.57
sdk_v2_webhook_delivery_log,webhook replay,v2,related_current_but_not_target,Current 2.x webhook delivery log document is related but not the primary replay handling rule,0.30,0.73,0.59
sdk_v2_quota_burst,quota burst,v2,current_version_candidate,Document for 2.x quota burst limits and waiting rules after overflow,0.70,0.66,0.21
sdk_v1_quota_burst_guide,quota burst,v1,old_version_collision,Quota burst wording matches but 1.x limits can conflict with current traffic control rules,0.73,0.64,0.20
sdk_general_quota_notes,quota burst,general,general_note_collision,Explains quota concepts but cannot confirm 2.x burst limits or waiting conditions,0.67,0.71,0.23
sdk_v2_quota_troubleshooting,quota burst,v2,related_current_but_not_target,Current 2.x quota troubleshooting is related but not primary evidence for burst setting rules,0.72,0.62,0.25
