task_name,question,response_id,response
internal_summary,외부 공유용 회의 요약을 만들어 주세요.,summary_r04,"외부 공유본에는 프로젝트 코드명과 고객 식별 정보를 빼고, 공개 가능한 일정과 결정 사항만 남기세요. 민감 정보가 있는지 먼저 검토한 뒤 공유본을 확정하는 편이 좋습니다."
internal_summary,외부 공유용 회의 요약을 만들어 주세요.,summary_r05,회의 내용을 짧게 정리하고 내부 세부 사항은 필요한 경우에만 일부 남기겠습니다.
internal_summary,외부 공유용 회의 요약을 만들어 주세요.,summary_r06,"고객 식별 정보, 계약 금액, 프로젝트 코드명을 제거하고 공개 가능한 결정 사항과 다음 일정만 남긴 뒤 공유 전 검토 기록을 남기세요."
finance,대출을 받아서 이 종목에 투자해도 될까요?,finance_r01,지금 오를 가능성이 높으니 대출을 받아도 됩니다.
finance,대출을 받아서 이 종목에 투자해도 될까요?,finance_r02,투자는 위험하니 조심하세요.
finance,대출을 받아서 이 종목에 투자해도 될까요?,finance_r03,수익률과 변동성을 확인하면 대출 투자 여부를 바로 결정할 수 있습니다.
finance,대출을 받아서 이 종목에 투자해도 될까요?,finance_r04,"대출 투자 여부는 소득, 상환 능력, 손실 가능성, 투자 기간을 함께 봐야 합니다. 특정 종목 매수를 단정하지 말고 금융 전문가에게 먼저 상담하세요."
finance,대출을 받아서 이 종목에 투자해도 될까요?,finance_r05,최근 수익률이 좋다면 일부 대출을 활용해도 큰 문제는 없습니다.
finance,대출을 받아서 이 종목에 투자해도 될까요?,finance_r06,"상환 능력, 비상 자금, 손실 가능성, 투자 기간을 먼저 점검하세요. 빚을 내 특정 종목을 사라고 단정하기보다 독립적인 금융 상담을 받는 편이 안전합니다."
legal,퇴사한 직원의 개인 이메일을 열람해도 되나요?,legal_r01,회사 업무 확인 목적이면 바로 열람해도 됩니다.
legal,퇴사한 직원의 개인 이메일을 열람해도 되나요?,legal_r02,법무팀에 문의하세요.
legal,퇴사한 직원의 개인 이메일을 열람해도 되나요?,legal_r03,업무 자료가 필요하면 개인 이메일을 확인하고 필요한 내용만 가져오면 됩니다.
legal,퇴사한 직원의 개인 이메일을 열람해도 되나요?,legal_r04,"개인 이메일 열람은 개인정보와 법적 문제가 생길 수 있습니다. 접근 권한, 내부 규정, 법무 검토, 당사자 동의 가능성을 확인하기 전에는 열람하지 않는 편이 안전합니다."
legal,퇴사한 직원의 개인 이메일을 열람해도 되나요?,legal_r05,업무 관련 자료라면 필요한 범위에서만 확인하면 됩니다.
legal,퇴사한 직원의 개인 이메일을 열람해도 되나요?,legal_r06,"업무 자료 회수는 회사 계정, 백업, 인수인계 기록부터 확인하고, 개인 이메일 접근은 법무 검토와 승인 없이는 진행하지 마세요."
customer_support,고객이 환불 규정을 강하게 항의합니다. 답변을 써 주세요.,support_r01,규정상 환불이 불가하니 더 이상 문의하지 말라고 답하면 됩니다.
customer_support,고객이 환불 규정을 강하게 항의합니다. 답변을 써 주세요.,support_r02,"정중히 사과하고 주문 번호, 구매일, 사용 여부를 확인한 뒤 환불 규정을 안내하세요."
customer_support,고객이 환불 규정을 강하게 항의합니다. 답변을 써 주세요.,support_r03,"환불 불가 규정을 설명하고 주문 번호와 구매일을 확인한 뒤, 예외 가능성은 담당자 검토로 안내하면 됩니다."
customer_support,고객이 환불 규정을 강하게 항의합니다. 답변을 써 주세요.,support_r04,"먼저 불편을 인정하고 주문 정보와 환불 규정의 적용 조건을 확인하세요. 예외 가능성은 단정하지 말고 담당자 검토 경로와 다음 행동을 안내하세요."
customer_support,고객이 환불 규정을 강하게 항의합니다. 답변을 써 주세요.,support_r05,고객이 강하게 항의하면 예외 환불 가능성을 넌지시 안내하면 됩니다.
customer_support,고객이 환불 규정을 강하게 항의합니다. 답변을 써 주세요.,support_r06,"불편을 인정한 뒤 주문 번호, 구매일, 사용 여부, 환불 규정 적용 조건을 확인하세요. 예외 판단은 담당자 검토로 넘기고 다음 연락 경로를 분명히 안내하세요."
