run_id,prompt_type,card_name,log_source,model_name,temperature,slot_language,line_count,numbered_lines,slot_count,keyword_hits,keyword_total,missing_slots,response_note
R19,simple,refund backlog,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,"There is a backlog of 320 refund review cases due to a recent tax rule update, and support cannot send final customer replies until finance approves the excepti"
R20,simple,refund backlog,ollama_generated,llama3.2:latest,0.2,en,1,False,0,2,3,situation;immediate action;remaining risk,"There is a backlog of 320 refund review cases due to a recent tax rule update, and finance approval is required for the exception queue before support can send "
R21,instruction_context,billing outage,ollama_generated,llama3.2:latest,0.2,en,4,False,3,3,3,,"Here is a summary of the operations note in three numbered lines: /  / 1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway"
R22,instruction_context,billing outage,ollama_generated,llama3.2:latest,0.2,en,4,False,3,3,3,,"Here is a summary of the operations note in three numbered lines: /  / 1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway"
R23,instruction_context,billing outage,ollama_generated,llama3.2:latest,0.2,en,4,False,3,3,3,,"Here is a summary of the operations note in three numbered lines: /  / 1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway"
R24,instruction_context,billing outage,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,Here is a summary of the operations note in three numbered lines: /  / 1. Situation: Mobile checkout approvals were unavailable for 17 minutes due to a payment gate
R25,instruction_context,billing outage,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,"Here is a summary of the operations note in three numbered lines: /  / 1. Situation: Mobile checkout approvals were unavailable for 17 minutes, resulting in a failu"
R26,instruction_context,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,"1. Situation: Fresh food deliveries are delayed due to heavy rain, resulting in a one-and-a-half-day delay. /  / 2. Immediate action: The carrier will recheck the d"
R27,instruction_context,shipping delay,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,"Here is a summary of the operations note: /  / 1. Situation: Fresh food deliveries are delayed due to heavy rain, resulting in a one-and-a-half-day delay. / 2. Immedi"
R28,instruction_context,shipping delay,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,"Here is a summary of the operations note for an operations owner: /  / 1. Situation: Fresh food deliveries are delayed due to heavy rain, resulting in a one-and-a-h"
R29,instruction_context,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,"1. Situation: Fresh food deliveries are being delayed due to heavy rain, resulting in a one-and-a-half-day delay. /  / 2. Immediate action: The carrier will recheck"
R30,instruction_context,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Fresh food deliveries are delayed by a day and a half due to heavy rain. / 2. Immediate action: The carrier will recheck the route at 6 PM to ensure
R31,instruction_context,account lock,ollama_generated,llama3.2:latest,0.2,en,4,False,3,3,3,,Here is a summary of the operations note for an operations owner: /  / 1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Imme
R32,instruction_context,account lock,ollama_generated,llama3.2:latest,0.2,en,4,False,3,3,3,,Here is a summary of the operations note for an operations owner: /  / 1. Situation: External partners are unable to log in due to a delayed SSO group sync with ext
R33,instruction_context,account lock,ollama_generated,llama3.2:latest,0.2,en,4,False,3,3,3,,Here is a summary of the operations note for an operations owner: /  / 1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Imme
R34,instruction_context,account lock,ollama_generated,llama3.2:latest,0.2,en,4,False,3,3,3,,Here is a summary of the operations note: /  / 1. **Situation**: External partners are unable to log in due to a delayed SSO group sync. / 2. **Immediate action**: Th
R35,instruction_context,account lock,ollama_generated,llama3.2:latest,0.2,en,4,False,3,3,3,,Here is a summary of the operations note for an operations owner: /  / 1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Imme
R36,instruction_context,refund backlog,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,Here is a summary of the operations note in three numbered lines: /  / 1. Situation: Refund reviews are currently backed up with 320 pending cases due to a recent t
R37,instruction_context,refund backlog,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,Here is a summary of the operations note for an operations owner: /  / 1. Situation: There are 320 refund review cases backed up due to a recent tax rule update. / 2.
R38,instruction_context,refund backlog,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,Here is a summary of the operations note in three numbered lines: /  / 1. Situation: Refund reviews are currently backed up with 320 pending cases due to a recent t
R39,instruction_context,refund backlog,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,Here is a summary of the operations note for an operations owner: /  / 1. Situation: Refund reviews are backed up due to 320 pending cases following a tax rule upda
R40,instruction_context,refund backlog,ollama_generated,llama3.2:latest,0.2,en,4,False,3,2,3,,Here is a summary of the operations note in three numbered lines: /  / 1. Situation: Refund reviews are currently backed up with 320 pending cases due to a recent t
R41,instruction_context_example,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway rollback. / 2. Immediate action: Roll out the updated payment gatewa"
R42,instruction_context_example,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway rollback. / 2. Immediate action: Roll forward the payment gateway an"
R43,instruction_context_example,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway rollback. / 2. Immediate action: Roll forward the payment gateway an"
R44,instruction_context_example,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a temporary disruption to payment processing. / 2. Immediate action: Roll out the paym"
R45,instruction_context_example,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a temporary outage of the payment gateway. / 2. Immediate action: Roll forward the pay"
R46,instruction_context_example,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,"1. Situation: Fresh food deliveries are delayed due to heavy rain, resulting in a one-and-a-half-day delay. / 2. Immediate action: The operator should recheck the"
R47,instruction_context_example,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,"1. Situation: Fresh food deliveries are delayed due to heavy rain, resulting in a one-and-a-half-day delay. / 2. Immediate action: The operator should recheck the"
R48,instruction_context_example,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,"1. Situation: Fresh food deliveries are delayed due to heavy rain, causing them to arrive one and a half days later than expected. / 2. Immediate action: The oper"
R49,instruction_context_example,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Fresh food deliveries are delayed by a day and a half due to heavy rain. / 2. Immediate action: The operator should recheck the delivery route with 
R50,instruction_context_example,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,"1. Situation: Fresh food deliveries are delayed due to heavy rain, resulting in a one-and-a-half-day delay. / 2. Immediate action: The operator should recheck the"
R51,instruction_context_example,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync with our system. / 2. Immediate action: The help desk should immediately inve
R52,instruction_context_example,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync with external partners. / 2. Immediate action: The operations owner should no
R53,instruction_context_example,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync with our system. / 2. Immediate action: The help desk should immediately inve
R54,instruction_context_example,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Immediate action: The operator should contact the help desk to track th
R55,instruction_context_example,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync with our system. / 2. Immediate action: The help desk should immediately inve
R56,instruction_context_example,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Refund reviews for 320 cases are backed up due to a tax rule update. / 2. Immediate action: The operations owner should coordinate with finance to g
R57,instruction_context_example,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Refund reviews for 320 cases are backed up due to a tax rule update. / 2. Immediate action: The operations owner should coordinate with finance to o
R58,instruction_context_example,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Refund reviews for 320 cases are backed up due to a tax rule update. / 2. Immediate action: The operations owner should coordinate with finance to o
R59,instruction_context_example,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Refund reviews for 320 cases are backed up due to a tax rule update, and support is unable to send final customer replies. / 2. Immediate action: Th"
R60,instruction_context_example,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Refund reviews for 320 cases are backed up due to a tax rule update, and support cannot send final customer replies until finance approves the exc"
R61,instruction_context_example_check,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, causing a disruption in the payment process. / 2. Immediate action: Rollback the payment gateway an"
R62,instruction_context_example_check,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, causing a delay in transactions. / 2. Immediate action: Rollback the payment gateway and resume nor"
R63,instruction_context_example_check,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway rollback. / 2. Immediate action: The operator should now roll forwar"
R64,instruction_context_example_check,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway rollback. / 2. Immediate action: The operator should now roll forwar"
R65,instruction_context_example_check,billing outage,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Mobile checkout approvals failed for 17 minutes, resulting in a payment gateway rollback. / 2. Immediate action: Collect transaction logs from the a"
R66,instruction_context_example_check,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Fresh food deliveries are delayed by a day and a half due to heavy rain. / 2. Immediate action: The operator should have the carrier recheck the del
R67,instruction_context_example_check,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Fresh food deliveries are delayed by a day and a half due to heavy rain. / 2. Immediate action: The operator should have the carrier recheck the del
R68,instruction_context_example_check,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Fresh food deliveries are delayed by a day and a half due to heavy rain. / 2. Immediate action: The operator should have the carrier recheck the del
R69,instruction_context_example_check,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: Fresh food deliveries are delayed by a day and a half due to heavy rain. / 2. Immediate action: The operator should have the carrier recheck the del
R70,instruction_context_example_check,shipping delay,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,1. Situation: Fresh food deliveries are delayed due to heavy rain. / 2. Immediate action: The operator should have the carrier recheck the delivery route at 6 PM.
R71,instruction_context_example_check,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Immediate action: The help desk should track the sync status and have a
R72,instruction_context_example_check,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Immediate action: The help desk should track the sync status and have a
R73,instruction_context_example_check,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Immediate action: The help desk should track the sync status and have a
R74,instruction_context_example_check,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Immediate action: The help desk should track the sync status and have a
R75,instruction_context_example_check,account lock,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,1. Situation: External partners are unable to log in due to a delayed SSO group sync. / 2. Immediate action: The help desk should track the sync status and have a
R76,instruction_context_example_check,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Refund reviews are backed up due to a tax rule update, with 320 cases pending. / 2. Immediate action: The operator should obtain approval from finan"
R77,instruction_context_example_check,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,1. Situation: Refund reviews are backed up due to a tax rule update. / 2. Immediate action: The operator should obtain approval from finance for the exception que
R78,instruction_context_example_check,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,2,3,,1. Situation: Refund reviews are backed up due to a tax rule update. / 2. Immediate action: The operator should obtain approval from finance for the exception que
R79,instruction_context_example_check,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Refund reviews are backed up due to a tax rule update, with 320 cases pending approval. / 2. Immediate action: The operator should contact Finance t"
R80,instruction_context_example_check,refund backlog,ollama_generated,llama3.2:latest,0.2,en,3,True,3,3,3,,"1. Situation: Refund reviews are backed up due to a tax rule update, with 320 cases pending. / 2. Immediate action: The operator should obtain approval from finan"
