run_id,run_date,log_source,model_name,quantization_mode,device,torch_version,context_condition,case_id,input_tokens,max_new_tokens,elapsed_ms,memory_after_load_mb,expected_answer,answer,expected_answer_seen
p7-6-1-fp32-seed-long-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,seed-long-2,360,16,1035.0,2350.2,42,42,true
p7-6-1-fp32-seed-long-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,seed-long-3,360,16,1028.0,2350.2,42,42,true
p7-6-1-fp32-action-short-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,action-short-1,45,16,712.3,2350.2,inspect the error sample,"Before changing the model, the project record suggests that the next step is to inspect",false
p7-6-1-fp32-action-short-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,action-short-2,45,16,339.8,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-action-short-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,action-short-3,43,16,332.1,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-action-long-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,action-long-1,363,16,1407.5,2350.2,inspect the error sample,Next action: inspect the error sample.,true
p7-6-1-fp32-action-long-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,action-long-2,363,16,1169.3,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-action-long-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,action-long-3,361,16,1195.6,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-owner-short-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,owner-short-4,42,16,208.0,2350.2,Mina,Mina,true
p7-6-1-fp32-owner-short-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,owner-short-5,43,16,502.3,2350.2,Mina,Mina is the person responsible for the baseline.,true
p7-6-1-fp32-owner-short-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,owner-short-6,45,16,498.0,2350.2,Mina,Mina is the baseline owner of the project.,true
p7-6-1-fp32-owner-long-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,owner-long-4,360,16,974.8,2350.2,Mina,Mina,true
p7-6-1-fp32-owner-long-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,owner-long-5,361,16,988.4,2350.2,Mina,Mina,true
p7-6-1-fp32-owner-long-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,owner-long-6,363,16,1052.6,2350.2,Mina,Mina,true
p7-6-1-fp32-seed-short-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,seed-short-4,42,16,213.5,2350.2,42,42,true
p7-6-1-fp32-seed-short-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,seed-short-5,45,16,219.0,2350.2,42,42,true
p7-6-1-fp32-seed-short-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,seed-short-6,43,16,367.9,2350.2,42,Fixed seed: 42,true
p7-6-1-fp32-seed-long-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,seed-long-4,360,16,1080.8,2350.2,42,42,true
p7-6-1-fp32-seed-long-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,seed-long-5,363,16,1043.8,2350.2,42,42,true
p7-6-1-fp32-seed-long-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,seed-long-6,361,16,1005.4,2350.2,42,42,true
p7-6-1-fp32-action-short-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,action-short-4,43,16,316.1,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-action-short-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,action-short-5,44,16,316.7,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-action-short-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,short,action-short-6,42,16,313.0,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-action-long-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,action-long-4,361,16,1092.2,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-action-long-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,action-long-5,362,16,1144.8,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-fp32-action-long-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,fp32,cpu,2.13.0+cpu,long,action-long-6,360,16,1115.9,2350.2,inspect the error sample,Inspect the error sample.,true
p7-6-1-dynamic-int8-linear-owner-short-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,owner-short-1,40,16,330.8,4372.0,Mina,The base of a cylinder is 10 cm and its height is 8,false
p7-6-1-dynamic-int8-linear-owner-short-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,owner-short-2,42,16,297.7,4372.0,Mina,"Answering the question ""What is the project?"" in a way that does not",false
p7-6-1-dynamic-int8-linear-owner-short-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,owner-short-3,44,16,304.5,4372.0,Mina,"To determine what the project ""Baseline Owner"" refers to, let's break",false
p7-6-1-dynamic-int8-linear-owner-long-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,owner-long-1,358,16,752.2,4372.0,Mina,"This note records a request for the following facts: ""Who owns the baseline?""",false
p7-6-1-dynamic-int8-linear-owner-long-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,owner-long-2,360,16,763.1,4372.0,Mina,"This note preserves scope, input, baseline, and review fields. This note preserves",false
p7-6-1-dynamic-int8-linear-owner-long-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,owner-long-3,362,16,763.5,4372.0,Mina,What is the answer to this question: What is the difference between the following two,false
p7-6-1-dynamic-int8-linear-seed-short-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,seed-short-1,43,16,256.3,4372.0,42,"Answer with facts and explanation, no need to explain.",false
p7-6-1-dynamic-int8-linear-seed-short-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,seed-short-2,42,16,318.6,4372.0,42,"To find the solution to this problem, we need to understand the context and requirements",false
p7-6-1-dynamic-int8-linear-seed-short-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,seed-short-3,42,16,319.6,4372.0,42,"The question ""Which seed is recorded as fixed"" can be answered by referring to",false
p7-6-1-dynamic-int8-linear-seed-long-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,seed-long-1,361,16,778.9,4372.0,42,"Project record. Fixed seed: 50. This note preserves scope, input",false
p7-6-1-dynamic-int8-linear-seed-long-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,seed-long-2,360,16,805.9,4372.0,42,"This note preserves scope, input, baseline, and review fields. This note preserves",false
p7-6-1-dynamic-int8-linear-seed-long-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,seed-long-3,360,16,642.8,4372.0,42,"Assistant.
Which seed is recorded as fixed?",false
p7-6-1-dynamic-int8-linear-action-short-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,action-short-1,45,16,316.1,4372.0,inspect the error sample,"Answer only to the question, do not provide any additional information.
Do not use",false
p7-6-1-dynamic-int8-linear-action-short-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,action-short-2,45,16,309.4,4372.0,inspect the error sample,"The assistant is responsible for providing a solution to the problem described in the request,",false
p7-6-1-dynamic-int8-linear-action-short-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,action-short-3,43,16,308.1,4372.0,inspect the error sample,Answer only to the question of the recorded next action. Project record. Next action,false
p7-6-1-dynamic-int8-linear-action-long-1,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,action-long-1,363,16,629.3,4372.0,inspect the error sample,What should be preserved in the notes?,false
p7-6-1-dynamic-int8-linear-action-long-2,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,action-long-2,363,16,723.2,4372.0,inspect the error sample,"Next action: preserve scope, input, baseline, review.",false
p7-6-1-dynamic-int8-linear-action-long-3,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,action-long-3,361,16,798.2,4372.0,inspect the error sample,"Next action: Inspect the error sample. This note preserves scope, input,",true
p7-6-1-dynamic-int8-linear-owner-short-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,owner-short-4,42,16,360.9,4372.0,Mina,Project record. Base line owner: Mina. State the baseline owner without,true
p7-6-1-dynamic-int8-linear-owner-short-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,owner-short-5,43,16,320.2,4372.0,Mina,The project is a software application that was developed by a company called XYZ Corporation.,false
p7-6-1-dynamic-int8-linear-owner-short-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,owner-short-6,45,16,310.6,4372.0,Mina,"The assistant will provide you with a list of questions and/or instructions, which you",false
p7-6-1-dynamic-int8-linear-owner-long-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,owner-long-4,360,16,732.4,4372.0,Mina,Answer only to the requested facts. Do not provide any explanations or additional information.,false
p7-6-1-dynamic-int8-linear-owner-long-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,owner-long-5,361,16,750.8,4372.0,Mina,"```python
class Note:
    def __init__(self, scope, input",false
p7-6-1-dynamic-int8-linear-owner-long-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,owner-long-6,363,16,742.4,4372.0,Mina,"This note preserves scope, input, baseline, and review fields. This note preserves",false
p7-6-1-dynamic-int8-linear-seed-short-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,seed-short-4,42,16,309.0,4372.0,42,The fixed seed is a type of seed that has been planted in a specific location,false
p7-6-1-dynamic-int8-linear-seed-short-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,seed-short-5,45,16,320.5,4372.0,42,"The ""fixed"" part of a numeric system refers to its ability to represent numbers",false
p7-6-1-dynamic-int8-linear-seed-short-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,seed-short-6,43,16,318.9,4372.0,42,The project record is a document containing information about the development of a product or service,false
p7-6-1-dynamic-int8-linear-seed-long-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,seed-long-4,360,16,787.2,4372.0,42,"The correct answer is that this note preserves scope, input, baseline, and review",false
p7-6-1-dynamic-int8-linear-seed-long-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,seed-long-5,363,16,802.6,4372.0,42,"This note preserves scope, input, baseline, and review fields. This note preserves",false
p7-6-1-dynamic-int8-linear-seed-long-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,seed-long-6,361,16,791.6,4372.0,42,"In this question, we are given a note that has been recorded as ""seed",false
p7-6-1-dynamic-int8-linear-action-short-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,action-short-4,43,16,318.0,4372.0,inspect the error sample,"The assistant is a new concept, but it's already here. It's just",false
p7-6-1-dynamic-int8-linear-action-short-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,action-short-5,44,16,131.0,4372.0,inspect the error sample,Do not explain.,false
p7-6-1-dynamic-int8-linear-action-short-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,short,action-short-6,42,16,194.3,4372.0,inspect the error sample,Next action: inspect the next action.,false
p7-6-1-dynamic-int8-linear-action-long-4,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,action-long-4,361,16,727.0,4372.0,inspect the error sample,"Next action: Inspect the record. This note preserves scope, input, baseline",false
p7-6-1-dynamic-int8-linear-action-long-5,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,action-long-5,362,16,741.9,4372.0,inspect the error sample,"Next action is to inspect the error sample. This note preserves scope, input,",true
p7-6-1-dynamic-int8-linear-action-long-6,2026-08-01,actual_cpu_run,Qwen/Qwen2.5-0.5B-Instruct,dynamic-int8-linear,cpu,2.13.0+cpu,long,action-long-6,360,16,754.7,4372.0,inspect the error sample,"Next action: Review the previous action. This note preserves scope, input, baseline",false
